Биграмма	Частота	Вероятность
ту	128	0,00147908
тф	5	0,0000577767
тх	3	0,000034666
тц	9	0,000103998
тч	23	0,000265773
тш	3	0,000034666
тщ	3	0,000034666
тъ	1	0,0000115554
ты	143	0,00165242
ть	471	0,00544257
тэ	2	0,0000231107
тя	40	0,000462214
уа	18	0,000207996
уб	86	0,00099376
ув	131	0,00151375
уг	131	0,00151375
уд	182	0,00210307
уе	17	0,000196441
уж	130	0,0015022
уз	54	0,000623989
уи	45	0,000519991
уй	13	0,00015022
ук	93	0,00107465
ул	111	0,00128264
ум	128	0,00147908
ун	84	0,000970649
уо	41	0,000473769
уп	101	0,00116709
ур	76	0,000878207
ус	201	0,00232263
ут	179	0,00206841
уу	11	0,000127109
уф	2	0,0000231107
ух	60	0,000693321
уц	3	0,000034666
уч	89	0,00102843
уш	77	0,000889762
ущ	27	0,000311994
уэ	5	0,0000577767
ую	139	0,00160619
уя	10	0,000115553
фа	13	0,00015022
фб	1	0,0000115554
фв	3	0,000034666
фе	8	0,0000924428
фи	45	0,000519991
фк	1	0,0000115554
фл	4	0,0000462214
фн	1	0,0000115554
фо	11	0,000127109
фр	25	0,000288884
фс	3	0,000034666
фт	1	0,0000115554
фу	3	0,000034666
фф	1	0,0000115554
фы	4	0,0000462214
ха	61	0,000704876
хб	11	0,000127109
хв	47	0,000543101
хг	21	0,000242662
хд	21	0,000242662
хе	14	0,000161775
хж	10	0,000115553
хз	8	0,0000924428
хи	47	0,000543101
хк	26	0,000300439
хл	11	0,000127109
хм	18	0,000207996
хн	42	0,000485325
хо	268	0,00309683
хп	64	0,000739542
хр	21	0,000242662
хс	59	0,000681766
хт	16	0,000184886
ху	40	0,000462214
хф	4	0,0000462214
хц	1	0,0000115554
хч	12	0,000138664
хэ	11	0,000127109
хя	4	0,0000462214
ца	75	0,000866651
цв	12	0,000138664
цг	1	0,0000115554
це	85	0,000982205
цж	1	0,0000115554
ци	72	0,000831985
цк	9	0,000103998
цл	1	0,0000115554
цм	1	0,0000115554
цн	5	0,0000577767
цо	36	0,000415993
цп	2	0,0000231107
цс	5	0,0000577767
цт	5	0,0000577767
цу	25	0,000288884
цы	3	0,000034666
ця	1	0,0000115554
ча	220	0,00254218
чв	5	0,0000577767
чг	1	0,0000115554
чд	1	0,0000115554
че	354	0,00409059
чи	157	0,00181419
чк	31	0,000358216
чл	2	0,0000231107
чм	1	0,0000115554
чн	88	0,00101687
чо	3	0,000034666
чп	1	0,0000115554
чр	2	0,0000231107
чт	258	0,00298128
чу	58	0,00067021
чш	11	0,000127109
чь	16	0,000184886
ша	86	0,00099376
шв	3	0,000034666
ше	194	0,00224174
ши	129	0,00149064
шк	37	0,000427548
шл	31	0,000358216
шм	1	0,0000115554
шн	40	0,000462214
шо	24	0,000277328
шп	2	0,0000231107
шс	1	0,0000115554
шт	5	0,0000577767
шу	18	0,000207996
шь	27	0,000311994
ща	38	0,000439103
ще	142	0,00164086
щи	89	0,00102843
щн	2	0,0000231107
що	1	0,0000115554
щр	1	0,0000115554
щу	18	0,000207996
щь	3	0,000034666
ъе	9	0,000103998
ъо	2	0,0000231107
ъю	3	0,000034666
ъя	8	0,0000924428
ыа	4	0,0000462214
ыб	68	0,000785764
ыв	132	0,00152531
ыг	30	0,00034666
ыд	22	0,000254218
ые	127	0,00146753
ыж	3	0,000034666
ыз	14	0,000161775
ыи	60	0,000693321
ый	156	0,00180263
ык	38	0,000439103
ыл	183	0,00211463
ым	205	0,00236885
ын	70	0,000808874
ыо	41	0,000473769
ып	41	0,000473769
ыр	31	0,000358216
ыс	118	0,00136353
ыт	89	0,00102843
ыу	5	0,0000577767
ыф	1	0,0000115554
ых	140	0,00161775
ыц	2	0,0000231107
ыч	10	0,000115553
ыш	31	0,000358216
ыэ	4	0,0000462214
ыя	5	0,0000577767
ьа	35	0,000404437
ьб	43	0,00049688
ьв	116	0,00134042
ьг	21	0,000242662
ьд	25	0,000288884
ье	182	0,00210307
ьж	11	0,000127109
ьз	28	0,00032355
ьи	71	0,00082043
ьк	150	0,0017333
ьл	17	0,000196441
ьм	42	0,000485325
ьн	245	0,00283106
ьо	55	0,000635544
ьп	72	0,000831985
ьр	24	0,000277328
ьс	142	0,00164086
ьт	48	0,000554657
ьу	23	0,000265773
ьф	3	0,000034666
ьх	10	0,000115553
ьц	1	0,0000115554
ьч	37	0,000427548
ьш	44	0,000508435
ьщ	2	0,0000231107
ьэ	16	0,000184886
ью	32	0,000369771
ья	50	0,000577767
эг	4	0,0000462214
эз	2	0,0000231107
эк	1	0,0000115554
эл	7	0,0000808875
эм	8	0,0000924428
эн	5	0,0000577767
эп	15	0,00017333
эс	1	0,0000115554
эт	216	0,00249596
юа	3	0,000034666
юб	68	0,000785764
юв	42	0,000485325
юг	11	0,000127109
юд	49	0,000566212
юе	6	0,0000693321
юж	17	0,000196441
юз	11	0,000127109
юи	35	0,000404437
юк	29	0,000335105
юл	16	0,000184886
юм	18	0,000207996
юн	24	0,000277328
юо	11	0,000127109
юп	33	0,000381327
юр	13	0,00015022
юс	43	0,00049688
ют	37	0,000427548
юу	7	0,0000808875
юф	2	0,0000231107
юх	4	0,0000462214
юц	7	0,0000808875
юч	28	0,00032355
юш	2	0,0000231107
ющ	55	0,000635544
юэ	3	0,000034666
юю	4	0,0000462214
юя	3	0,000034666
яа	30	0,00034666
яб	46	0,000531546
яв	155	0,00179108
яг	63	0,000727987
яд	79	0,000912873
яе	31	0,000358216
яж	38	0,000439103
яз	117	0,00135198
яи	94	0,0010862
яй	1	0,0000115554
як	86	0,00099376
ял	105	0,00121331
ям	80	0,000924428
ян	184	0,00212618
яо	76	0,000878207
яп	128	0,00147908
яр	30	0,00034666
яс	171	0,00197596
ят	185	0,00213774
яу	34	0,000392882
яф	9	0,000103998
ях	27	0,000311994
яц	4	0,0000462214
яч	36	0,000415993
яш	7	0,0000808875
ящ	25	0,000288884
яэ	17	0,000196441
яю	11	0,000127109
яя	24	0,000277328
ёв	1	0,0000115554
ёз	1	0,0000115554
